name,source,gender,wikidata,type
"Emilii Plater",wikidata,F,Q294136,way
"Marii Skłodowskiej-Curie",wikidata,F,Q7186,way
"Most Marii Skłodowskiej-Curie",wikidata,F,Q7186,way
"Trasa Mostu im. Marii Skłodowskiej-Curie (Północnego)",wikidata,F,Q7186,way
"Aleja Jana Chrystiana Szucha",wikidata,M,Q1692977,relation
"Aleja Jana Pawła II",wikidata,M,Q989,way
"Aleja Jerzego Waszyngtona",wikidata,M,Q23,way
"Aleja Prymasa Tysiąclecia",wikidata,M,Q165522,way
"Artura Grottgera",wikidata,M,Q714401,way
Canaletta,wikidata,M,Q164688,way
"Edwarda Gibalskiego",wikidata,M,Q11696174,way
"Franciszka Ksawerego Dmochowskiego",wikidata,M,Q556568,way
"Gabriela Piotra Boduena",wikidata,M,Q9265131,way
"Generała Emila Augusta Fieldorfa „Nila”",wikidata,M,Q689612,way
"Generała Romana Abrahama",wikidata,M,Q3267650,way
"Generała Tadeusza Bora-Komorowskiego",wikidata,M,Q170356,way
"Generała Władysława Andersa",wikidata,M,Q165544,way
"Jana Kilińskiego",wikidata,M,Q383201,way
"Jana Olbrachta",wikidata,M,Q53451,way
"Jana Pawła Woronicza",wikidata,M,Q4416657,way
"Jana i Jędrzeja Śniadeckich",wikidata,M,Q536339;Q2336700,way
"Józefa Hoene-Wrońskiego",wikidata,M,Q331856,way
"Józefa Mianowskiego",wikidata,M,Q2366158,way
"Juliana Bartoszewicza",wikidata,M,Q3207595,way
"Jurija Gagarina",wikidata,M,Q7327,way
"Księdza Ignacego Kłopotowskiego",wikidata,M,Q126058,way
"Ludwika Waryńskiego",wikidata,M,Q1875503,way
"Ludwika Zamenhofa",wikidata,M,Q11758,way
"Marcina Kasprzaka",wikidata,M,Q4216744,way
"Mikołaja Kopernika",wikidata,M,Q619,way
"Mordechaja Anielewicza",wikidata,M,Q327892,way
"Most Grota-Roweckiego",wikidata,M,Q683515,relation
"Most Księcia Józefa Poniatowskiego",wikidata,M,Q154382,way
"Pasaż Stefana Wiecheckiego ""Wiecha""",wikidata,M,Q7606330,way
"Plac Artura Zawiszy",wikidata,M,Q9160809,way
"Plac Dąbrowskiego",wikidata,M,Q158027,way
"Plac Hallera",wikidata,M,Q698651,way
"Plac Narutowicza",wikidata,M,Q55836,way
"Plac Piłsudskiego",wikidata,M,Q885,relation
"Plac Starynkiewicza",wikidata,M,Q2069437,way
"Plac Zawiszy",wikidata,M,Q9160809,way
"Plac marszałka Józefa Piłsudskiego",wikidata,M,Q885,way
"Rondo Generała Charles'a de Gaulle'a",wikidata,M,Q2042,relation
"Rondo Ignacego Daszyńskiego",wikidata,M,Q14430,way
"Rondo Jerzego Waszyngtona",wikidata,M,Q23,way
"Rondo Stefana Starzyńskiego",wikidata,M,Q3849484,way
"Rondo Tybetu",wikidata,M,Q4216744,way
"Stanisława Noakowskiego",wikidata,M,Q972823,way
"Stefana Banacha",wikidata,M,Q180217,way
"Stefana Jaracza",wikidata,M,Q3622841,way
"Stefana Starzyńskiego",wikidata,M,Q3849484,way
"Tytusa Chałubińskiego",wikidata,M,Q6580661,way
"Wybrzeże Kościuszkowskie",wikidata,M,Q191479,way
"Władysława Umińskiego",wikidata,M,Q8865632,way
"Łukasza Górnickiego",wikidata,M,Q345583,way
