name,source,gender,wikidata,type
"(290 - 294)",,,,way
"(330 - 331)",,,,way
"(332 - 338)",,,,way
"1 Maja",,,,way
"11KDL Leszczyny",,,,way
11KDW,,,,way
12KDW,,,,way
12KP,,,,way
13KD-Z,,,,way
13KDW,,,,way
"15 Sierpnia",,,,way
15KPJ,,,,way
"1831 Roku",,,,way
"19 Kwietnia",,,,way
19KD-L,,,,way
19KDD,,,,way
"20 Dywizji Piechoty WP",,,,way
20KP,,,,way
"21 Pułku Piechoty Dzieci Warszawy",,,,way
21KDD,,,,way
22KDW,,,,way
27KDD,,,,way
28KDD,,,,way
28KDW,,,,way
29KDW,,,,way
31KD-D,,,,way
5KDL,,,,way
"6 Sierpnia",,,,way
6KDL,,,,way
7KDL,,,,way
"8. KD-D",,,,way
8KDW,,,,way
"9. KD-D",,,,way
9KDW,,,,way
9KJP,,,,way
AWF,,,,way
Achillesa,,,,way
Adampolska,,,,way
Admiralska,,,,way
Adriatycka,,,,way
Agnieszki,,,,way
Agrarna,,,,way
Agrestowa,,,,way
Akantu,,,,way
Akcent,,,,way
Akermańska,,,,way
Aksamitna,,,,way
Aktorska,,,,way
Akurat,,,,way
Akustyczna,,,,way
Akwarelowa,,,,way
Albatrosów,,,,way
"Albertyny Werner z domu Norblin",,,,way
"Aleaj Wiśniowa",,,,way
"Aleaj Łubinów",,,,way
"Aleja 1",,,,way
"Aleja 10",,,,way
"Aleja 100",,,,way
"Aleja 108",,,,way
"Aleja 11",,,,way
"Aleja 110",,,,way
"Aleja 112",,,,way
"Aleja 114",,,,way
"Aleja 12",,,,way
"Aleja 13",,,,way
"Aleja 14",,,,way
"Aleja 15",,,,way
"Aleja 16",,,,way
"Aleja 17",,,,way
"Aleja 18",,,,way
"Aleja 19",,,,way
"Aleja 2",,,,way
"Aleja 20",,,,way
"Aleja 21",,,,way
"Aleja 22",,,,way
"Aleja 23",,,,way
"Aleja 24",,,,way
"Aleja 25",,,,way
"Aleja 26",,,,way
"Aleja 27",,,,way
"Aleja 28",,,,way
"Aleja 29",,,,way
"Aleja 3",,,,way
"Aleja 30",,,,way
"Aleja 31",,,,way
"Aleja 32",,,,way
"Aleja 33",,,,way
"Aleja 34",,,,way
"Aleja 35",,,,way
"Aleja 36",,,,way
"Aleja 37",,,,way
"Aleja 38",,,,way
"Aleja 39",,,,way
"Aleja 4",,,,way
"Aleja 40",,,,way
"Aleja 41",,,,way
"Aleja 42",,,,way
"Aleja 43",,,,way
"Aleja 44",,,,way
"Aleja 46",,,,way
"Aleja 47",,,,way
"Aleja 48",,,,way
"Aleja 49",,,,way
"Aleja 5",,,,way
"Aleja 50",,,,way
"Aleja 51",,,,way
"Aleja 52",,,,way
"Aleja 53",,,,way
"Aleja 54",,,,way
"Aleja 55",,,,way
"Aleja 56",,,,way
"Aleja 57",,,,way
"Aleja 58",,,,way
"Aleja 59",,,,way
"Aleja 6",,,,way
"Aleja 60",,,,way
"Aleja 61",,,,way
"Aleja 62",,,,way
"Aleja 63",,,,way
"Aleja 64",,,,way
"Aleja 65",,,,way
"Aleja 66",,,,way
"Aleja 67",,,,way
"Aleja 68",,,,way
"Aleja 69",,,,way
"Aleja 7",,,,way
"Aleja 70",,,,way
"Aleja 71",,,,way
"Aleja 72",,,,way
"Aleja 73",,,,way
"Aleja 74",,,,way
"Aleja 75",,,,way
"Aleja 76",,,,way
"Aleja 77",,,,way
"Aleja 78",,,,way
"Aleja 79",,,,way
"Aleja 8",,,,way
"Aleja 80",,,,way
"Aleja 81",,,,way
"Aleja 82",,,,way
"Aleja 83",,,,way
"Aleja 84",,,,way
"Aleja 85",,,,way
"Aleja 86",,,,way
"Aleja 87",,,,way
"Aleja 88",,,,way
"Aleja 89",,,,way
"Aleja 9",,,,way
"Aleja 90",,,,way
"Aleja 91",,,,way
"Aleja 92",,,,way
"Aleja 93",,,,way
"Aleja 94",,,,way
"Aleja 95",,,,way
